epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,562.135,0.57787,0.31522,0.88436,0.87347,0.87862,0.90292,0.69959,0.74508,0.42407,1.0899,0.0669129,0.000166267,0.000166267
2,1120.87,0.54094,0.28164,0.8709,0.88455,0.87618,0.90734,0.70826,0.73719,0.41485,1.08531,0.0337458,0.000332532,0.000332532
3,1679,0.52489,0.26853,0.86473,0.87877,0.88239,0.90492,0.70919,0.73417,0.41708,1.08741,0.00057713,0.000497194,0.000497194
4,2236.09,0.50748,0.25608,0.85769,0.87193,0.88446,0.90283,0.70761,0.72611,0.41493,1.08476,0.000494592,0.000494592,0.000494592
5,2792.86,0.49767,0.25039,0.8535,0.88207,0.87912,0.90715,0.70858,0.73676,0.41732,1.09209,0.000490412,0.000490412,0.000490412
6,3349.65,0.48967,0.24647,0.85077,0.87616,0.88243,0.90589,0.7099,0.73136,0.42064,1.0917,0.000485074,0.000485074,0.000485074
7,3906.35,0.48517,0.2437,0.85013,0.87456,0.88604,0.90659,0.70911,0.73092,0.4167,1.09169,0.000478603,0.000478603,0.000478603
8,4462.62,0.47629,0.23794,0.84611,0.87071,0.88704,0.90264,0.70616,0.73922,0.42167,1.09454,0.00047103,0.00047103,0.00047103
9,5019.09,0.46718,0.23344,0.84231,0.87969,0.87245,0.89989,0.70726,0.73685,0.42091,1.10001,0.000462392,0.000462392,0.000462392
10,5575.5,0.46443,0.23211,0.84189,0.86824,0.88414,0.90429,0.70828,0.74437,0.42237,1.10227,0.000452732,0.000452732,0.000452732
11,6131.97,0.45971,0.2292,0.84082,0.86705,0.88497,0.90148,0.70551,0.73664,0.42545,1.10037,0.000442096,0.000442096,0.000442096
12,6688.54,0.45625,0.2272,0.83662,0.86753,0.88205,0.9012,0.70324,0.74202,0.42299,1.10494,0.000430537,0.000430537,0.000430537
13,7244.77,0.45099,0.22495,0.83537,0.87148,0.8791,0.89914,0.70287,0.74396,0.42636,1.11035,0.00041811,0.00041811,0.00041811
14,7801.22,0.44443,0.22193,0.83391,0.87089,0.882,0.9016,0.70297,0.74627,0.42852,1.1088,0.000404876,0.000404876,0.000404876
15,8357.67,0.441,0.22029,0.83415,0.87447,0.87456,0.89912,0.70177,0.74391,0.42853,1.10963,0.0003909,0.0003909,0.0003909
16,8914.36,0.4363,0.21853,0.83212,0.86772,0.87979,0.90221,0.7036,0.74411,0.43102,1.10736,0.00037625,0.00037625,0.00037625
